time-stamp,acode,bcode,ccode,type,ret_code
1/3/18 8:33 AM,19682,58005,58005,POST,200
1/3/18 8:33 AM,28430,58005,58005,POST,200
1/3/18 8:33 AM,60996,58007,58007,POST,200
1/3/18 8:33 AM,25848,443,55005,GET,200
1/3/18 8:33 AM,36550,58007,58007,POST,200
1/3/18 8:33 AM,58818,58005,58005,GET,200
1/3/18 8:33 AM,39068,58017,58017,POST,200
1/3/18 8:33 AM,20040,58005,58005,POST,200
1/3/18 8:33 AM,36550,58007,58007,POST,200
1/3/18 8:33 AM,62112,58007,58007,POST,200
1/3/18 8:33 AM,39064,58017,58017,POST,200
1/3/18 8:33 AM,55594,58017,58017,POST,200
1/3/18 8:33 AM,36550,58007,58007,POST,200
1/3/18 8:33 AM,19682,58005,58005,GET,200
1/3/18 8:33 AM,30042,58005,58005,GET,200
1/3/18 8:33 AM,36550,58007,58007,POST,200
1/3/18 8:33 AM,55638,58005,58005,GET,200
1/3/18 8:33 AM,54674,58007,58007,POST,200
1/3/18 8:33 AM,60996,58007,58007,POST,200
1/3/18 8:33 AM,23720,58007,58007,PUT,204
1/3/18 8:33 AM,20040,58005,58005,GET,200
1/3/18 8:33 AM,57820,58005,58005,POST,200
1/3/18 8:33 AM,27064,58005,58005,GET,200
1/3/18 8:33 AM,54674,58007,58007,POST,200
1/3/18 8:33 AM,36306,58007,58007,POST,200
1/3/18 8:33 AM,54758,58005,58005,POST,200
1/3/18 8:33 AM,33112,443,55005,GET,200
1/3/18 8:33 AM,55578,58017,58017,POST,200
1/3/18 8:33 AM,37228,58007,58007,POST,200
1/3/18 8:33 AM,24416,58019,58019,GET,200
1/3/18 8:33 AM,24416,58019,58019,GET,200
1/3/18 8:33 AM,64014,58007,58007,POST,200
1/3/18 8:33 AM,26532,58005,58005,GET,200
1/3/18 8:33 AM,61536,443,55005,GET,200
1/3/18 8:32 AM,40488,55078,55078,POST,401
1/3/18 8:32 AM,36550,58007,58007,POST,200
1/3/18 8:32 AM,32022,58017,58017,POST,200
1/3/18 8:32 AM,18006,58005,58005,POST,200
1/3/18 8:32 AM,23322,58007,58007,POST,200
1/3/18 8:32 AM,55638,58005,58005,GET,200
1/3/18 8:32 AM,57820,58005,58005,GET,200
1/3/18 8:32 AM,23700,58005,58005,GET,200
1/3/18 8:32 AM,1520,443,55005,GET,200
1/3/18 8:32 AM,28430,58005,58005,GET,200
1/3/18 8:32 AM,58818,58005,58005,GET,200
1/3/18 8:32 AM,62112,58007,58007,POST,200
1/3/18 8:32 AM,40136,55078,55078,POST,401
1/3/18 8:32 AM,31240,58019,58019,GET,200
1/3/18 8:32 AM,62682,58005,58005,POST,200
1/3/18 8:32 AM,60996,58007,58007,POST,200
1/3/18 8:32 AM,36550,58007,58007,PUT,204
1/3/18 8:32 AM,24416,58019,58019,GET,200
1/3/18 8:32 AM,65222,58007,58007,POST,200
1/3/18 8:32 AM,52718,58013,58013,GET,200
1/3/18 8:32 AM,60996,58007,58007,POST,200
1/3/18 8:32 AM,36306,58007,58007,POST,200
1/3/18 8:32 AM,28430,58005,58005,GET,200
1/3/18 8:32 AM,23700,58005,58005,GET,200
1/3/18 8:32 AM,36306,58007,58007,POST,200
1/3/18 8:32 AM,58618,58005,58005,GET,200
1/3/18 8:32 AM,60996,58007,58007,POST,200
1/3/18 8:32 AM,27064,58005,58005,POST,200
1/3/18 8:32 AM,19682,58005,58005,GET,200
1/3/18 8:32 AM,64014,58007,58007,POST,200
1/3/18 8:32 AM,40488,55078,55078,POST,401
1/3/18 8:32 AM,26532,58005,58005,POST,200
1/3/18 8:32 AM,35044,58007,58007,PUT,204
1/3/18 8:32 AM,54758,58005,58005,GET,200
1/3/18 8:32 AM,26430,58019,58019,GET,200
1/3/18 8:32 AM,35816,58007,58007,POST,200
1/3/18 8:32 AM,23720,58007,58007,POST,200
1/3/18 8:32 AM,31240,58019,58019,GET,200
1/3/18 8:32 AM,28430,58005,58005,GET,200
1/3/18 8:32 AM,17996,58005,58005,GET,200
1/3/18 8:32 AM,23720,58007,58007,POST,200
1/3/18 8:32 AM,28430,58005,58005,POST,200
1/3/18 8:32 AM,42280,443,55005,GET,200
1/3/18 8:32 AM,54758,58005,58005,GET,200
1/3/18 8:32 AM,22665,443,55005,GET,200
1/3/18 8:32 AM,40136,55078,55078,POST,401
1/3/18 8:32 AM,14824,443,55005,GET,200
1/3/18 8:32 AM,36306,58007,58007,POST,200
1/3/18 8:32 AM,27064,58005,58005,GET,200
1/3/18 8:32 AM,2552,443,55005,GET,200
1/3/18 8:32 AM,55638,58005,58005,GET,200
1/3/18 8:32 AM,36306,58007,58007,POST,200
1/3/18 8:32 AM,54758,58005,58005,POST,200
1/3/18 8:32 AM,20040,58005,58005,GET,200
1/3/18 8:32 AM,60996,58007,58007,POST,200
1/3/18 8:32 AM,23130,55015,55015,POST,500
1/3/18 8:32 AM,40488,55078,55078,POST,401
1/3/18 8:32 AM,35818,58007,58007,POST,200
1/3/18 8:32 AM,31790,58017,58017,POST,200
